produkt,cena,ilosc,rng
Produkt D,910,96,0.3
Produkt C,167,48,0.08
Produkt D,9,5,0.8
Produkt A,948,96,0.85
Produkt D,780,59,0.78
Produkt E,381,18,0.5
Produkt E,252,32,0.3
67,206,3,0.75
Produkt A,970,70,0.1
Produkt B,246,37,0.6
I Do pieca,451,45,0.94
Produkt A,98,14,0.62
Produkt B,863,18,0.93
Produkt C,44,58,0.73
Produkt E,963,41,0.95
Produkt D,710,43,0.06
Produkt C,Produkt B,79,0.01
Produkt E,591,5,0.04
Produkt B,965,59,0.09
Produkt C,974,79,0.19
Produkt B,989,84,0.27
Produkt B,525,15,0.99
Produkt C,517,Produkt D,0.99
Produkt C,596,98,0.27
Produkt B,893,27,0.65
Produkt D,859,86,0.86
Produkt C,747,35,0.69
67,51,31,0.38
Produkt B,831,22,0.37
Produkt D,597,51,0.28
Produkt C,908,76,0.15
Produkt C,65,16,0.93
Produkt A,509,53,0.11
Produkt B,113,84,0.54
Produkt A,589,41,0.29
Produkt D,663,98,0.3
Produkt D,176,41,0.01
Produkt D,769,14,0.87
Produkt D,196,Produkt C,0.99
Produkt B,201,53,0.39
Produkt C,124,17,0.93
Produkt A,98,80,0.05
Produkt C,941,60,0.57
Produkt D,836,45,0.68
Produkt C,632,Produkt D,1.0
Produkt A,430,30,0.56
I Do pieca,672,3,0.63
I Do pieca,713,50,0.3
Produkt A,311,28,0.35
Produkt A,178,38,0.92
Produkt B,945,77,0.85
Produkt D,899,33,0.76
Produkt C,656,18,0.24
Produkt D,334,85,0.49
Produkt B,383,19,0.77
Produkt B,468,1,0.62
Produkt C,996,20,0.52
Produkt A,190,50,0.22
I Do pieca,324,32,0.79
Produkt E,383,86,0.03
Produkt C,11,50,0.66
Produkt D,744,15,0.62
Produkt D,442,62,0.1
Produkt A,188,30,0.1
Produkt B,38,60,0.6
Produkt B,444,28,0.42
Produkt E,818,54,0.14
Produkt A,662,7,0.38
Produkt D,722,59,0.96
Produkt A,591,97,0.02
